Customer,Time,Product A,Product B,Product C,Product D,Product E,Product F,Product G,Product H,Product I,Product J
Customer 2,40969,70173,20274,82798,8697,136532,3917,78163,36675,54005,197780
Customer 2,41000,53718,12788,65889,7240,88543,3836,58971,26788,40225,166965
Customer 2,41030,61438,16441,74165,8276,103045,4193,64152,27990,47807,179153
Customer 2,41061,64582,17758,76520,7851,111342,3731,64434,29207,47120,165052
Customer 2,41091,48770,12128,67774,6546,79073,3847,54026,28360,38861,153598
Customer 2,41122,40241,8641,52540,4015,59032,2265,43512,19016,30856,121052
Customer 2,41153,59463,20428,79277,6306,108128,4479,64407,26548,47123,176635
Customer 2,41183,51555,13334,64854,6220,74808,3801,53485,23112,41601,151965
Customer 2,41214,52725,14223,70842,6471,82029,3290,57685,21802,39792,156152
Customer 2,41244,51594,14494,67831,5174,80351,3245,48003,23016,36087,143685
Customer 2,41275,43629,9874,44165,5640,57439,3474,51259,19555,40384,128437
Customer 2,41306,39905,9840,40325,5889,58532,2873,44993,19130,37980,118758
Customer 2,41334,73996,19426,67787,7128,110877,5537,83628,30856,53641,184087
Customer 2,41365,55896,12735,50787,6938,67704,4254,61503,20574,42128,137318
Customer 2,41395,59203,14270,54075,7066,83209,4638,66410,23509,45522,147624
Customer 2,41426,64916,17976,58754,6710,90271,4405,69764,25091,49685,155121
Customer 2,41456,43498,11177,45867,5639,62112,4147,59099,21897,34410,133116
Customer 2,41487,35853,7009,37027,3766,43291,2408,47262,17963,31683,103264
Customer 3,40179,37884,6564,57214,7244,72634,2635,46556,21897,26021,109222
Customer 3,40210,34287,6883,48226,7002,76001,1855,43721,21299,34816,112570
Customer 3,40238,59362,14459,76592,9498,127546,3563,63079,32738,52380,159877
Customer 3,40269,45002,10970,63333,8567,105742,3476,57425,27606,47595,156859
Customer 3,40299,53332,12063,69288,9494,104524,3392,54161,29274,43549,155461
Customer 3,40330,59909,14972,80398,9415,115688,3390,63334,34883,49106,168943
Customer 3,40360,49942,12219,66789,7807,104620,4167,57033,33115,40947,140780
Customer 3,40391,33522,7168,41540,4941,61457,1211,36828,20037,31872,111056
Customer 3,40422,57556,17143,75942,7912,116203,2472,49155,22450,47032,161055
Customer 3,40452,48895,11486,68277,7919,92036,2732,51200,26715,45343,146842
Customer 3,40483,45268,10460,65584,8445,83380,2329,51337,26011,36258,137567
Customer 3,40513,48460,11527,59812,7166,77615,2109,40481,22122,35537,123219
Customer 3,40544,37847,8916,48969,5264,74047,2440,46324,21812,33590,133960
Customer 3,40575,36382,7426,48107,5903,71784,1600,40866,23038,33425,121263
Customer 3,40603,67707,16627,81631,9697,135037,3555,72767,36140,52628,190725
Customer 3,40634,52061,11212,65662,7831,86578,3495,56886,26941,39706,157769
Customer 3,40664,52830,10970,70780,7795,85687,2963,55476,27389,40307,149640
Customer 3,40695,65792,14585,78865,8666,122783,3776,59327,30089,46231,170972
Customer 3,40725,50542,9838,67142,7315,80032,5443,50782,27314,32791,134045
Customer 3,40756,30770,5970,43084,4199,53818,1966,37143,18428,30155,100668
Customer 3,40787,58753,16441,80476,8212,114113,2931,54447,23524,45432,156200
Customer 3,40817,52366,11649,70673,6166,76286,3320,52748,21449,40060,141016
Customer 3,40848,54302,11974,72748,6632,89655,3515,53282,26117,41992,135946
Customer 3,40878,52366,15787,61130,5524,94500,3210,47052,21661,35136,125283
Customer 3,40909,46944,9334,56355,6378,79829,3091,48111,23803,36663,145127
Customer 3,40940,41212,8639,51508,5644,79291,2416,46576,20955,37785,133953
Customer 3,40969,70173,20274,82798,8697,136532,3917,78163,36675,54005,197780
Customer 3,41000,53718,12788,65889,7240,88543,3836,58971,26788,40225,166965
Customer 3,41030,61438,16441,74165,8276,103045,4193,64152,27990,47807,179153
Customer 3,41061,64582,17758,76520,7851,111342,3731,64434,29207,47120,165052
Customer 3,41091,48770,12128,67774,6546,79073,3847,54026,28360,38861,153598
